,1,2,3,4,5,6,7,8,9
1,-1,1.3e-31,1.1e-47,0.025,0.083,7.5e-31,7.1e-44,2.6e-32,6.5e-35
2,1.3e-31,-1,0.0049,3.4e-21,3.9e-41,0.88,0.028,0.89,0.53
3,1.1e-47,0.0049,-1,1.5e-34,2.5e-59,0.0031,0.54,0.0075,0.029
4,0.025,3.4e-21,1.5e-34,-1,6.8e-05,1.4e-20,2.5e-31,9.2e-22,6.9e-24
5,0.083,3.9e-41,2.5e-59,6.8e-05,-1,2.9e-40,4.8e-55,6.1e-42,6.6e-45
6,7.5e-31,0.88,0.0031,1.4e-20,2.9e-40,-1,0.019,0.77,0.44
7,7.1e-44,0.028,0.54,2.5e-31,4.8e-55,0.019,-1,0.04,0.12
8,2.6e-32,0.89,0.0075,9.2e-22,6.1e-42,0.77,0.04,-1,0.62
9,6.5e-35,0.53,0.029,6.9e-24,6.6e-45,0.44,0.12,0.62,-1
