,1,2,3,4,5,6,7,8,9
1,-1,4.1e-18,1.1e-27,8e-07,2.9e-05,4.2e-08,1.4e-24,0.0053,3.8e-06
2,4.1e-18,-1,0.026,3.4e-42,7.5e-38,0.0014,0.12,3.9e-09,5.1e-05
3,1.1e-27,0.026,-1,1.6e-56,1.9e-51,5.9e-08,0.5,4.8e-16,3.4e-10
4,8e-07,3.4e-42,1.6e-56,-1,0.45,2e-25,5.4e-52,1.1e-14,1.2e-21
5,2.9e-05,7.5e-38,1.9e-51,0.45,-1,4.2e-22,3.8e-47,3.1e-12,1.3e-18
6,4.2e-08,0.0014,5.9e-08,2e-25,4.2e-22,-1,2e-06,0.007,0.39
7,1.4e-24,0.12,0.5,5.4e-52,3.8e-47,2e-06,-1,9.4e-14,2e-08
8,0.0053,3.9e-09,4.8e-16,1.1e-14,3.1e-12,0.007,9.4e-14,-1,0.066
9,3.8e-06,5.1e-05,3.4e-10,1.2e-21,1.3e-18,0.39,2e-08,0.066,-1
