,1,2,3,4,5,6,7,8,9
1,-1,1.6e-21,9.2e-25,0.00017,0.0021,6.3e-22,1.1e-31,7.5e-23,1.2e-23
2,1.6e-21,-1,0.46,2.6e-40,2.2e-36,0.92,0.029,0.75,0.62
3,9.2e-25,0.46,-1,9.3e-45,1.3e-40,0.52,0.15,0.66,0.8
4,0.00017,2.6e-40,9.3e-45,-1,0.49,7.2e-41,5e-54,3.8e-42,3.2e-43
5,0.0021,2.2e-36,1.3e-40,0.49,-1,6.3e-37,1.9e-49,3.9e-38,3.7e-39
6,6.3e-22,0.92,0.52,7.2e-41,6.3e-37,-1,0.037,0.83,0.69
7,1.1e-31,0.029,0.15,5e-54,1.9e-49,0.037,-1,0.061,0.091
8,7.5e-23,0.75,0.66,3.8e-42,3.9e-38,0.83,0.061,-1,0.86
9,1.2e-23,0.62,0.8,3.2e-43,3.7e-39,0.69,0.091,0.86,-1
