,1,2,3,4,5,6,7,8,9
1,-1,5.1e-09,1.4e-11,9.9e-17,6.8e-18,0.6,2.6e-09,0.36,0.41
2,5.1e-09,-1,0.36,1.8e-45,2.1e-47,1e-07,0.91,1.3e-11,2.5e-11
3,1.4e-11,0.36,-1,2.8e-51,2.4e-53,4.4e-10,0.42,1.6e-14,3.4e-14
4,9.9e-17,1.8e-45,2.8e-51,-1,0.75,1.1e-18,3.9e-46,1.5e-13,7.4e-14
5,6.8e-18,2.1e-47,2.4e-53,0.75,-1,6.4e-20,4.2e-48,1.4e-14,6.6e-15
6,0.6,1e-07,4.4e-10,1.1e-18,6.4e-20,-1,5.5e-08,0.15,0.18
7,2.6e-09,0.91,0.42,3.9e-46,4.2e-48,5.5e-08,-1,6.1e-12,1.2e-11
8,0.36,1.3e-11,1.6e-14,1.5e-13,1.4e-14,0.15,6.1e-12,-1,0.92
9,0.41,2.5e-11,3.4e-14,7.4e-14,6.6e-15,0.18,1.2e-11,0.92,-1
